City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,samarinda,-0.5,117.15,23.21,98,100,1.03,ID,1730750931
286,al khawr,25.7667,51.3167,25.32,68,5,1.84,QA,1730750932
287,chopinzinho,-25.8558,-52.5233,24.87,80,25,1.44,BR,1730750933
288,markaz-e woluswali-ye achin,34.1258,70.7078,19.06,38,7,0.36,AF,1730750934
289,bermejo,-32.8833,-68.8,24.07,31,44,7.11,AR,1730750936
290,naze,28.3667,129.4833,22.51,76,100,5.95,JP,1730750937
291,mahdia,35.5047,11.0622,21.25,75,63,4.56,TN,1730750938
292,yangchun,22.1667,111.7833,21.26,86,98,2.01,CN,1730750939
293,tarko-sale,64.9225,77.785,-3.4,94,100,10.34,RU,1730750940
294,afaahiti,-17.75,-149.2833,24.71,85,100,5.23,PF,1730750941
295,sawakin,19.1059,37.3321,27.94,65,100,5.65,SD,1730750942
296,morehead city,34.7229,-76.726,23.36,74,100,3.58,US,1730750943
297,barguzin,53.6167,109.6167,-9.4,81,16,1.75,RU,1730750945
298,darnah,32.767,22.6367,19.5,70,24,7.13,LY,1730750946
299,happy valley-goose bay,53.3168,-60.3315,0.14,54,17,4.36,CA,1730750947
300,cartagena del chaira,1.3349,-74.8429,30.66,55,100,2.17,CO,1730750948
301,vilhena,-12.7406,-60.1458,31.12,55,40,5.66,BR,1730750726
302,san pa tong,18.6283,98.8957,25.06,73,20,1.03,TH,1730750950
303,wanning,18.8003,110.3967,23.14,93,40,4.55,CN,1730750951
304,sur,22.5667,59.5289,27.54,57,0,1.36,OM,1730750952
305,luderitz,-26.6481,15.1594,13.82,47,4,14.82,NA,1730750955
306,tobruk,32.0836,23.9764,20.37,60,36,7.49,LY,1730750956
307,bamboo flat,11.7,92.7167,26.44,79,96,3.52,IN,1730750958
308,carnarvon,-24.8667,113.6333,19.48,72,3,8.31,AU,1730750959
309,basoko,1.2391,23.616,21.12,94,85,1.24,CD,1730750960
310,winston-salem,36.0999,-80.2442,18.03,66,20,3.09,US,1730750667
311,hammerfest,70.6634,23.6821,3.25,65,75,3.09,NO,1730750963
312,cadale,2.7603,46.3222,26.46,84,38,2.89,SO,1730750964
313,wynyard,-41.0,145.7167,8.01,97,10,2.03,AU,1730750965
314,ekibastuz,51.6667,75.3667,0.52,65,100,5.02,KZ,1730750966
315,villa gesell,-37.2639,-56.973,15.86,84,99,5.42,AR,1730750967
316,dongxing,45.3667,130.8,-2.6,54,42,1.89,CN,1730750968
317,klaksvik,62.2266,-6.589,10.05,97,100,6.26,FO,1730750969
318,la rinconada,37.4873,-5.9826,19.47,86,93,1.28,ES,1730750970
319,krusevac,43.58,21.3339,6.46,60,24,0.9,RS,1730750973
320,khanty-mansiysk,61.0042,69.0019,-1.94,93,75,6.0,RU,1730750974
321,pokhara,28.2333,83.9833,15.81,83,95,1.52,NP,1730750975
